"","X1","ID","weights","ss","healthcare","school","welfare","env","poor","sci","tax_mill","red_ineq","min_wage","job_gov","sex_orig","sex","white","black","asian","hisp","born","class","educ","income","age","black_favors","blm","black_deserve","black_try","slave","vote_duty","int_camp","int_pol","int_med","lib_con_spec","party_id","strong_weak","ind","seven_point","trad","true","bend","lib_pca1","pol_pca1","redist_pca1","spend_pca1","lib_pca1_scaled","redist_pca1_scaled","spend_pca1_scaled","pol_pca1_scaled"
"1188",1188,2008,3.4082,3,1,2,1,2,3,2,3,2,4,2,2,0,1,0,0,0,1,1,9,19,60,3,0,4,3,2,3,3,3,4,6,2,1,NA,7,1,1,4,-0.333531963542222,0.961673482111723,-0.199479803650882,-0.580142634252962,-0.333687932799489,-0.202513403197872,-0.586790653069465,0.961861668381966
"1189",1189,2009,0.7444,2,2,2,1,3,2,1,3,NA,4,3,2,0,1,0,0,0,3,NA,10,26,64,2,NA,3,3,4,3,3,4,4,5,1,1,NA,1,3,2,5,0.68761889044814,1.64424924773927,0.158517224819986,-0.666775988641804,0.68794044106202,0.160927883807026,-0.674416763611896,1.64457100469632
"1190",1190,2010,1.0424,3,3,3,1,2,2,3,3,2,4,6,2,0,1,0,0,0,1,NA,10,1,49,5,2,4,4,2,NA,2,1,2,NA,3,NA,2,4,5,2,2,-0.93149326675287,-1.82305625782923,1.23250831023259,-0.152592247110244,-0.931928860125755,1.25125174482172,-0.154340844903523,-1.82341300485822
"1191",1191,2011,1.173,2,3,3,2,3,2,1,3,3,4,4,2,0,0,1,0,0,1,NA,13,24,36,1,NA,2,1,5,NA,2,3,3,4,1,2,NA,2,4,5,3,1.05255119041754,0.251884377768792,0.516514253290854,0.417132860192843,1.05304339400026,0.524369170811924,0.421912903823173,0.251933668076226
"1192",1192,2012,0.6479,3,3,3,3,3,3,1,3,3,4,6,1,1,1,0,0,0,1,NA,9,1,62,4,60,4,5,3,NA,2,3,3,4,3,NA,2,4,1,1,2,-1.4129400683429,0.251884377768792,1.23250831023259,1.58767506341633,-1.41360080025801,1.25125174482172,1.60586868180067,0.251933668076226
"1193",1193,2013,0.8526,2,1,2,1,1,1,3,1,NA,3,3,1,1,1,0,0,0,1,NA,13,25,59,4,0,5,2,1,NA,3,4,4,6,2,1,NA,7,2,3,3,0.0896575872374925,1.64424924773927,-0.738532515512644,-1.78177682609376,0.0896995137357543,-0.749763787368202,-1.80219471157107,1.64457100469632
"1194",1194,2014,1.4818,3,1,3,1,2,1,3,2,NA,3,1,2,0,1,0,0,0,1,NA,10,11,55,5,0,5,4,1,1,3,4,4,6,3,NA,1,5,2,2,3,-0.391789214352533,1.64424924773927,-1.45452657245438,-1.78177682609376,-0.391972426396496,-1.476646361378,-1.80219471157107,1.64457100469632
"1195",1195,2015,0.8337,1,1,3,1,2,2,1,2,1,3,3,2,0,1,0,0,0,1,2,14,22,34,4,1,5,1,2,3,3,3,3,3,3,NA,1,5,2,2,2,-0.93149326675287,0.251884377768792,-0.738532515512644,-1.18095973017336,-0.931928860125755,-0.749763787368202,-1.19449268232027,0.251933668076226
"1196",1196,2016,1.4972,3,3,2,1,2,2,2,3,1,4,4,1,1,1,0,0,0,1,NA,10,20,59,4,10,4,3,4,NA,2,3,3,5,3,NA,1,5,3,2,2,-0.93149326675287,0.251884377768792,0.516514253290854,-0.152592247110244,-0.931928860125755,0.524369170811924,-0.154340844903523,0.251933668076226
"1197",1197,2017,0,3,NA,3,3,3,3,3,NA,NA,NA,4,1,1,0,1,0,0,1,NA,10,9,34,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,1,NA,NA,NA,0,0,0.103043936633809,1.18386733749263,-1.21394757586755e-16,0.104610982689456,1.19743360873561,6.95455484492392e-17
