"","X1","ID","weights","consq","branches","crit","facts","cong_courts","vote_duty","vote_2020","vote_house","yrs_sen","sen_diff","vote_2012","vote_sen","reg","ss","school","welfare","highway","poor","healthcare","tax_mill","ubi","red_ineq","min_wage","chance_life","job_gov","fair","reduce_extra","state","wy","ny","cong_dist","census_region","county","zip","sex","race","hisp","born","class","fs","educ","income","age","black","white","amind","asian","pi","black_favors","blm","black_deserve","black_try","slave","vote_2012_choice","dem_feel","rep_feel","lib_con_spec","lib_con_binary","int_camp","int_pol","int_med","party_reg","party_id","strong_weak","ind","seven_point","partisanship","lib_pca1","rr_pca1","pol_pca1","redist_pca1","spend_pca1","lib_pca1_scaled","redist_pca1_scaled","spend_pca1_scaled","rr_pca1_scaled","pol_pca1_scaled"
"229",229,NA,0.317115117668951,5,5,5,5,3,NA,1,1,6,0,0,1,1,2,3,3,3,3,3,3,1,3,4,2,5,2,7,48,0,0,35,3,NA,NA,1,4,0,0,2,0,7,10,60,0,0,0,1,0,1,85,2,1,4,NA,85,0,4,1,3,4,3,3,3,NA,3,3,85,1.10393827257458,-1.46859653925251,0.859360149777445,0.999970492470792,1.21871791328657,1.10435909199692,1.01687000502788,1.21941989417739,-1.46901053520988,0.85948249580667
"230",230,NA,0.429392926544974,5,5,5,5,3,NA,1,1,6,0,1,1,1,2,2,2,2,2,NA,3,2,3,4,5,5,1,7,51,0,0,3,3,NA,NA,1,1,0,1,3,0,4,13,66,0,1,0,0,0,2,60,3,2,4,1,60,30,4,1,3,4,4,2,2,2,NA,6,30,1.10393827257458,-0.657883933243365,1.55009709908956,0.999970492470792,-0.646346866118733,1.10435909199692,1.01687000502788,-0.646719161580963,-0.658069390093834,1.55031778447395
"231",231,NA,0.581460963388274,5,4,1,3,1,NA,1,1,4,2,1,NA,1,1,2,1,3,3,3,3,1,1,4,5,4,1,1,12,0,0,7,3,NA,NA,1,1,0,1,3,0,2,16,70,0,1,0,0,0,5,0,3,5,2,2,0,100,NA,1,3,3,3,2,2,1,NA,7,NA,-1.05842847481926,1.77425388478407,0.185568193548252,-0.301007143482581,-0.553431469783823,-1.05883194598285,-0.306094167589152,-0.553750246025585,1.7747540452543,0.18559461265977
"232",232,NA,1.01691098587998,5,5,1,2,3,NA,1,1,4,2,1,NA,1,3,3,3,3,3,NA,3,3,1,4,4,4,2,2,9,0,0,1,1,NA,NA,2,1,0,1,3,0,7,18,51,0,1,0,0,0,2,85,3,2,4,1,70,60,4,1,3,3,3,1,1,2,NA,2,10,-1.5378058439862,-0.657883933243365,0.185568193548252,-0.301007143482581,1.21871791328657,-1.53839205300079,-0.306094167589152,1.21941989417739,-0.658069390093834,0.18559461265977
"233",233,NA,0.679058119829497,5,4,1,5,2,3,1,1,8,2,0,1,1,3,2,1,2,1,NA,2,2,2,3,3,2,1,4,26,0,0,6,2,NA,NA,2,1,0,1,2,1,2,11,44,0,1,0,0,0,3,100,3,3,2,NA,80,40,4,1,2,2,2,1,1,1,NA,1,40,-0.0996737364853837,0.152828672765782,-1.17896071199305,-0.766579221612216,-1.90884925497489,-0.0997117319469529,-0.779534419069725,-1.90994875116333,0.152871755022211,-1.17912855915441
"234",234,NA,0.294755401699099,5,5,5,5,3,3,1,1,3,3,1,1,1,1,2,2,3,3,3,1,2,1,4,5,6,4,2,13,0,0,7,3,NA,NA,2,2,0,0,3,0,8,15,60,1,0,0,0,0,2,70,2,2,5,1,70,15,4,2,2,3,3,1,1,1,NA,1,55,1.10393827257458,-0.657883933243365,0.185568193548252,0.167793743840555,0.0313620264768003,1.10435909199692,0.170629459996568,0.0313800909879099,-0.658069390093834,0.18559461265977
"235",235,NA,0.796858604617722,5,5,3,5,3,3,NA,NA,2,4,1,NA,1,2,3,1,3,1,3,1,2,1,3,3,1,5,1,51,0,0,1,3,NA,NA,1,5,0,1,3,0,3,12,34,0,0,0,0,1,4,0,5,4,1,2,50,50,7,NA,3,3,3,2,2,1,NA,7,0,0.502132268044597,0.963541278774928,0.185568193548252,-1.53426826141969,-1.30628686442574,0.502323680024984,-1.56019741227467,-1.30703928498734,0.963812900138255,0.18559461265977
"236",236,NA,0.694274451306287,4,5,4,4,2,NA,1,1,6,0,1,1,1,2,1,1,3,1,NA,2,2,2,3,3,2,4,4,51,0,0,10,3,NA,NA,1,1,0,1,2,0,3,19,53,0,1,0,0,0,5,0,3,4,5,2,0,85,6,NA,3,3,3,2,2,1,NA,7,NA,-0.293662055891803,1.35359225414579,0.185568193548252,-0.766579221612216,-2.51141164552404,-0.29377399937614,-0.779534419069725,-2.51285821733932,1.35397383050537,0.18559461265977
"237",237,NA,0.865732921571295,5,5,5,4,3,3,1,1,6,0,1,NA,1,2,3,2,3,3,1,3,1,3,4,5,6,2,6,36,0,1,27,1,NA,NA,2,1,0,1,2,0,6,18,37,0,1,0,0,0,1,100,1,1,5,1,70,15,2,NA,3,3,3,1,1,1,NA,1,55,0.624560903407639,-1.46859653925251,0.185568193548252,1.23437093613236,0.63392441702595,0.624798984978973,1.25523181882074,0.634289557163895,-1.46901053520988,0.18559461265977
"238",238,NA,1.00463938509238,4,3,3,4,2,NA,NA,NA,8,2,0,NA,0,2,3,2,2,2,2,2,2,1,4,4,NA,2,2,6,0,0,45,4,NA,NA,2,1,0,1,2,0,5,12,56,0,1,0,0,0,4,65,2,1,4,NA,50,50,4,1,2,3,3,3,3,NA,2,4,0,-0.594565058156793,-0.298443613139921,0.185568193548252,-0.33900677836735,-0.0437844755695834,-0.594791705362108,-0.344735996730387,-0.0438096954049769,-0.298527744108529,0.18559461265977
